GMI_CNTRY,POPIO_NAME,POINT_X,POINT_Y,CONTINENT,POPIO_NAME_ES
GRD,Grenada,-61.67937937200,12.11292665630,North America,Grenada
GLP,Guadeloupe,-61.64847034100,16.14147579870,North America,Guadalupe
GUM,Guam,144.71394295500,13.35581225990,Oceania,Guam
GTM,Guatemala,-91.23877040050,15.00771409900,North America,Guatemala
GIN,Guinea,-11.36710486350,11.04459481130,Africa,Guinea
GNB,Guinea-Bissau,-14.41236131400,12.12419406740,Africa,Guinea-Bissau
GUY,Guyana,-58.97478114970,4.79201682323,South America,Guyana
HTI,Haiti,-72.33883421230,18.40213854260,North America,Hait’
HND,Honduras,-86.61934828200,14.81704825850,North America,Honduras
HUN,Hungary,19.41344923360,47.16650236030,Europe,Hungr’a
ISL,Iceland,-19.01892291990,64.79170238490,Europe,Islandia
IND,India,79.58692059900,22.90894255780,Asia,India
IDN,Indonesia,113.92725475000,-0.98581275442,Asia,Indonesia
IRQ,Iraq,43.77213471730,33.04802520530,Asia,Iraq
IRL,Ireland,-8.14524829112,53.17416920070,Europe,Irelanda
IRN,Islamic Republic of Iran,54.19630291840,32.74482033630,Asia,Ir‡n
ISR,Israel,34.62096396480,31.06846816670,Asia,Israel
ITA,Italy,12.56920414420,42.79328423790,Europe,Italia
JAM,Jamaica,-77.31901254930,18.15141972780,North America,Jamaica
JPN,Japan,139.27219334300,36.65071135980,Asia,Jap—n
JOR,Jordan,37.13076365180,30.65801786020,Asia,Jordania
KAZ,Kazakhstan,66.65782333260,48.01598512160,Asia,Kazajst‡n
KEN,Kenya,37.85674398810,0.53080002090,Africa,Kenia
KIR,Kiribati,-157.37712248300,1.83325333978,Oceania,Kiribati
KWT,Kuwait,47.48176819290,29.52089083450,Asia,Kuwait
KGZ,Kyrgyz Republic,74.55559656080,41.46505432230,Asia,Kyrgyz Republic
LAO,Lao PDR,101.99234274900,20.28436019190,Asia,Laos
LVA,Latvia,26.41912479180,56.63381941290,Europe,Latvia
LBN,Lebanon,35.88802652700,33.92026581940,Asia,L’bano
LSO,Lesotho,28.24301119450,-29.58099930380,Africa,Lesotho
LBR,Liberia,-9.30791352218,6.44809164375,Africa,Liberia
LBY,Libya,18.02328651050,27.04395435460,Africa,Libia
LTU,Lithuania,23.90365565920,55.33542117310,Europe,Lituania
LUX,Luxembourg,6.08781375310,49.77062851540,Europe,Luxamburgo
MDG,Madagascar,46.70400139900,-19.37767962250,Africa,Madagascar
MWI,Malawi,33.49164579740,-13.39225913370,Africa,Malawi
MYS,Malaysia,114.41157721000,2.87790628593,Asia,Malasia
MDV,Maldives,73.10231369530,-0.61532519998,Asia,Maldivas
MLI,Mali,-3.52442241387,17.35027936580,Africa,Mal’
MLT,Malta,14.44192244250,35.89052265090,Europe,Malta
MTQ,Martinique,-61.02128782110,14.65254732780,North America,Martinica
MRT,Mauritania,-10.33115448280,20.25995077220,Africa,Mauritania
MUS,Mauritius,57.56415671070,-20.28142317480,Africa,Mauricio
MYT,Mayotte,45.13516074310,-12.81979536430,Africa,Mayotte
MEX,Mexico,-102.51329054900,23.94410963810,North America,MŽxico
MDA,Moldova,28.47393051630,47.19387081170,Europe,Moldavia
MNG,Mongolia,103.08321776300,46.83529080100,Asia,Mongolia
MON,Montenegro,19.25323880680,42.79132426710,Europe,Montenegro
MAR,Morocco,-6.31784603365,31.88362474860,Africa,Marruecos
MOZ,Mozambique,38.18783643530,-14.28248034020,Africa,Mozambique
MMR,Myanmar,96.51383277590,21.19793086280,Asia,Myanmar
NAM,Namibia,17.21827741450,-22.13324812180,Africa,Namibia
NPL,Nepal,83.93854772190,28.25300758220,Asia,Nepal
NCL,New Caledonia,165.50539524200,-21.40520491420,Oceania,Nueva Caledonia
NZL,New Zealand,170.51294705800,-43.98818810140,Oceania,Nueva Zelanda
NIC,Nicaragua,-85.03478315990,12.83990623270,North America,Nicaragua
NER,Niger,9.39764792894,17.42614907210,Africa,Niger
NGA,Nigeria,8.10548868245,9.59503857373,Africa,Nigeria
NOR,Norway,11.46671586220,61.44021773090,Europe,Noruega
NOR,Norway,3.41252138141,-54.42190673510,Antarctica,Noruega
OMN,Oman,57.88513452520,22.00869809190,Asia,Om‡n
PAK,Pakistan,69.38596582830,29.96702229840,Asia,Pakist‡n
PAN,Panama,-81.57230218920,8.29945998087,North America,Panam‡
PNG,Papua New Guinea,144.26738337200,-6.61972050383,Asia,Papœa Nueva Guinea
PRY,Paraguay,-60.54380460820,-21.69988659960,South America,Paraguay
PER,Peru,-71.84421810460,-13.59168340160,South America,Perœ
PHL,Philippines,120.86367229700,14.16147660690,Asia,Filipinas
POL,Poland,19.40088407220,52.12461005690,Europe,Polonia
PRT,Portugal,-7.96218741478,39.69190949940,Europe,Portugal
PRI,Puerto Rico,-66.48099344500,18.22310720030,North America,Puerto Rico
QAT,Qatar,51.19120124170,25.31507883340,Asia,Qatar
VEN,RB-de-Venezuela,-66.17982673190,7.11490316551,South America,Venezuela
KOR,Rep of Korea,127.86892899300,36.44917650120,Asia,Corea del Sur
YEM,Rep of Yemen,45.28860244300,15.21531360780,Asia,Yemen
REU,Reunion,55.53818064970,-21.12166153250,Africa,Reuni—n
ROM,Romania,24.96925833060,45.84361469620,Europe,Ruman’a
RUS,Russian Federation,98.89177315250,61.59425125760,Asia,Rusia
RWA,Rwanda,29.91765222350,-1.99789101327,Africa,Ruanda
WSM,Samoa,-172.43543600500,-13.63491507240,Oceania,Samoa
STP,Sao Tome and Principe,6.60615879686,0.22744704295,Africa,Sao Tome y Principe
SAU,Saudi Arabia,44.54710662630,24.12545346900,Asia,Arabia Saudita
SEN,Senegal,-14.46765275740,14.36696541750,Africa,Senegal
SRB,Serbia,20.80545745590,44.03204580780,Europe,Serbia
SYC,Seychelles,55.47250789600,-4.66000231882,Africa,Seychelles
SLE,Sierra Leone,-11.78414071460,8.56913989413,Africa,Sierra Leone
SGP,Singapore,103.80805122100,1.35161643253,Asia,Singapur
SVK,Slovak Republic,19.49165233630,48.70753052720,Europe,Eslovaquia
SVN,Slovenia,14.99567325460,46.06800803560,Europe,Eslovenia
SLB,Solomon Islands,160.16991756100,-9.62389114729,Oceania,Islas Salom—n
SOM,Somalia,46.19996363460,4.43361016766,Africa,Somalia
ZAF,South Africa,24.68687717470,-30.00174940540,Africa,Sud‡frica
